TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Credit,TransactionType_Debit,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Cluster,PCA1,PCA2
14.089999999999975,70.0,81.0,1.0,5112.21,0,1,1,0,0,1,0,0,0,2,0.814905518770368,1.4031804063230342
376.24,68.0,141.0,1.0,13758.91,0,1,1,0,0,1,0,0,0,0,2.71245285324083,-0.6546076339830315
126.28999999999999,19.0,56.0,1.0,1122.35,0,1,0,0,1,0,0,0,1,1,-1.782606503460304,-0.6090297229419911
184.5,26.0,25.0,1.0,8569.06,0,1,0,0,1,0,0,0,1,0,0.04062729824894398,-1.554162080920746
13.449999999999989,26.0,198.0,1.0,7429.4,1,0,0,0,1,0,0,0,1,1,-0.41801840747366587,-1.041885446136468
92.15,18.0,172.0,1.0,781.6800000000003,0,1,1,0,0,0,0,0,1,1,-1.9245908827312184,-0.7461579521329158
7.079999999999984,37.0,139.0,1.0,13316.71,1,0,1,0,0,1,0,0,0,0,1.7361476429170728,-1.6995567284197262
171.42,67.0,291.0,1.0,2796.24,1,0,0,1,0,0,0,1,0,2,0.07112958830755822,1.6649703076893179
106.23000000000002,51.0,86.0,1.0,9095.14,1,0,0,1,0,0,1,0,0,0,1.2222903885930203,-0.7738587165445868
815.96,55.0,120.0,1.0,1021.8799999999997,0,1,1,0,0,1,0,0,0,2,-0.5253894841694047,1.271808188156367
17.78000000000003,52.0,59.0,1.0,7599.52,1,0,0,0,1,0,1,0,0,0,0.9775666955409168,-0.5907025524328462
190.02000000000004,21.0,173.0,1.0,1528.81,0,1,0,0,1,0,0,0,1,1,-1.7066736900070658,-0.7092458234884287
494.52,24.0,111.0,1.0,1620.02,1,0,0,1,0,0,0,0,1,1,-1.5634058081840334,-0.4891943298153689
781.76,26.0,123.0,1.0,189.6899999999996,0,1,1,0,0,0,0,0,1,1,-1.845113913755635,-0.27888183274534917
166.99,18.0,134.0,1.0,299.9300000000003,0,1,0,0,1,0,0,0,1,1,-2.008506424819073,-0.668688435666468
